triple_name,score,triple_incidence,head_rate,tail_rate
Automata_theory	Programming_language,-0.37368175,7.0,0.0056783436708307,0.0065956145715034
Automata_theory	Computer_programming,0.19185491,11.0,0.0056783436708307,0.0063772167380099
Xgboost	Elasticsearch,0.901185751,72.0,0.0058967415043242,0.0066392941382021
Xgboost	Plotly,0.886901076,71.0,0.0058967415043242,0.006071459771119
Xgboost	React_(Javascript_Library),0.842229843,52.0,0.0058967415043242,0.0068576919716956
Xgboost	Inventor,0.81216719,43.0,0.0058967415043242,0.0067703328382982
Xgboost	Catia,0.801408793,38.0,0.0058967415043242,0.0060277802044203
Xgboost	Tableau_Software,0.750595465,32.0,0.0058967415043242,0.0066392941382021
Xgboost	ChatGPT,0.729622969,26.0,0.0058967415043242,0.0055036254040359
Computer_graphics	Computational_science,0.824199149,47.0,0.0063335371713112,0.0072071285052852
Computer_graphics	Computational_complexity_theory,0.798380785,43.0,0.0063335371713112,0.006945051105093
Computer_graphics	Analysis_of_algorithms,0.783988025,37.0,0.0063335371713112,0.0046737136367607
Automata_theory	Computer_science,0.751990419,38.0,0.0056783436708307,0.0062024984712151
Computer_graphics	Artificial_intelligence,0.753790538,33.0,0.0063335371713112,0.0029702105355114
Computer_graphics	Combinatorics,0.686829313,30.0,0.0063335371713112,0.0073381672053813
Computer_graphics	Computability,0.715472062,27.0,0.0063335371713112,0.00738184677208
Computer_graphics	Problem_solving,0.668005829,25.0,0.0063335371713112,0.0073381672053813
Computer_graphics	Abstraction_(computer_science),0.676016808,24.0,0.0063335371713112,0.00738184677208
Computer_graphics	Graph_theory,0.610565782,24.0,0.0063335371713112,0.0062898576046125
Computer_graphics	Discrete_mathematics,0.633855303,24.0,0.0063335371713112,0.0071634489385865
Computer_graphics	Database_transaction,0.642728971,23.0,0.0063335371713112,0.00738184677208
Computer_graphics	Asymptotic_analysis,0.516413689,19.0,0.0063335371713112,0.0073381672053813
Computer_graphics	Image_processing,0.544441976,19.0,0.0063335371713112,0.0072508080719839
Computer_graphics	Finite-state_machine,0.517433727,17.0,0.0063335371713112,0.0073381672053813
Analysis_of_algorithms	Foundations_of_mathematics,0.895900008,73.0,0.0058530619376255,0.0073381672053813
Analysis_of_algorithms	Computational_science,0.875165954,65.0,0.0058530619376255,0.0072071285052852
Analysis_of_algorithms	Data_structure,0.851863799,54.0,0.0058530619376255,0.0069013715383943
Analysis_of_algorithms	Problem_solving,0.878379517,47.0,0.0058530619376255,0.0073381672053813
Analysis_of_algorithms	Automata_theory,0.814527103,42.0,0.0058530619376255,0.0074255263387787
Analysis_of_algorithms	Programming_language,0.82799882,42.0,0.0058530619376255,0.0065956145715034
Analysis_of_algorithms	Number_theory,0.796877815,41.0,0.0058530619376255,0.00738184677208
Analysis_of_algorithms	Abstraction_(computer_science),0.796778107,40.0,0.0058530619376255,0.00738184677208
Analysis_of_algorithms	Artificial_intelligence,0.796022562,39.0,0.0058530619376255,0.0029702105355114
Analysis_of_algorithms	Iterative_method,0.782598058,36.0,0.0058530619376255,0.0073381672053813
Analysis_of_algorithms	Graph_(mathematics),0.78332493,36.0,0.0058530619376255,0.0073381672053813
Analysis_of_algorithms	Relational_algebra,0.718458636,29.0,0.0058530619376255,0.0073381672053813
Analysis_of_algorithms	Computational_problem,0.713034827,29.0,0.0058530619376255,0.00738184677208
Analysis_of_algorithms	Bioinformatics_Analysis,0.732720341,28.0,0.0058530619376255,0.0022713374683323
Analysis_of_algorithms	Geometry,0.705963064,27.0,0.0058530619376255,0.0073381672053813
Analysis_of_algorithms	Computational_geometry,0.660717468,25.0,0.0058530619376255,0.0019655805014414
Analysis_of_algorithms	Relational_model,0.640581086,21.0,0.0058530619376255,0.0072944876386826
Analysis_of_algorithms	Mechanical_engineering,0.524470594,18.0,0.0058530619376255,0.00738184677208
Analysis_of_algorithms	Probability_theory,0.51901859,16.0,0.0058530619376255,0.0068576919716956
Analysis_of_algorithms	Approximation,0.554022461,16.0,0.0058530619376255,0.00738184677208
Analysis_of_algorithms	Kinematics,0.5525973,15.0,0.0058530619376255,0.0073381672053813
System_programming	Computational_complexity_theory,0.845221134,52.0,0.0059841006377216,0.006945051105093
System_programming	Distributed_computing,0.751844518,34.0,0.0059841006377216,0.001441425701057
System_programming	Database_management_system,0.691940821,26.0,0.0059841006377216,0.0034070062024984
System_programming	Computability,0.67795105,25.0,0.0059841006377216,0.00738184677208
System_programming	Iterative_method,0.655089498,24.0,0.0059841006377216,0.0073381672053813
System_programming	Combinatorics,0.629061063,21.0,0.0059841006377216,0.0073381672053813
System_programming	Computation,0.545168475,19.0,0.0059841006377216,0.0073381672053813
Functional_programming	Data_structure,0.88538244,63.0,0.0067266532715995,0.0069013715383943
Functional_programming	Imperative_programming,0.878338091,62.0,0.0067266532715995,0.0026207740019219
Functional_programming	Control_flow,0.868595231,62.0,0.0067266532715995,0.0072508080719839
Functional_programming	computer_programs/algorithms,0.879394185,62.0,0.0067266532715995,0.0063772167380099
Functional_programming	Higher-order_function,0.823718558,45.0,0.0067266532715995,0.0074255263387787
Functional_programming	Object-oriented_programming,0.821630014,38.0,0.0067266532715995,0.0024023761684284
Functional_programming	Abstract_data_type,0.73382603,33.0,0.0067266532715995,0.00738184677208
Functional_programming	High-level_programming_language,0.773734107,33.0,0.0067266532715995,0.0072944876386826
Functional_programming	Computational_complexity_theory,0.746312439,32.0,0.0067266532715995,0.006945051105093
Functional_programming	Assembly_language,0.756005748,30.0,0.0067266532715995,0.0031449288023062
Functional_programming	Regular_expression,0.679655112,26.0,0.0067266532715995,0.0072944876386826
