triple_name,score,triple_incidence,head_rate,tail_rate,predicted_class
Supervised_Machine_Learning	Machine_learning,0.715971782,29.0,0.0062898576046125,0.0020966192015375,1
C_(programming_language)	Operating_system,0.836612421,51.0,0.0068140124049969,0.0050231501703503,0
Programming_language	Computational_complexity_theory,0.855904295,57.0,0.0057220232375294,0.006945051105093,0
Data_structure	Computational_complexity_theory,0.764337315,34.0,0.0053289071372411,0.006945051105093,0
Uncertainty	linear_algebra,0.814589176,47.0,0.0055473049707346,0.0073381672053813,0
Information_security	linear_algebra,0.553498459,20.0,0.0058530619376255,0.0073381672053813,0
Classes	Lexical_analysis,0.598824955,21.0,0.0061151393378177,0.0072944876386826,0
Computer_graphics	Problem_solving,0.668005829,25.0,0.0063335371713112,0.0073381672053813,1
Lock_(computer_science)	Computability,0.649137829,23.0,0.0058530619376255,0.00738184677208,0
Analysis_of_algorithms	Iterative_method,0.782598058,36.0,0.0058530619376255,0.0073381672053813,1
Arithmetic	Integer,0.833239588,58.0,0.0051978684371451,0.0073381672053813,1
Number_theory	Combinatorics,0.698391596,27.0,0.0053725867039398,0.0073381672053813,0
Regular_expression	String_(computer_science),0.776434666,37.0,0.006071459771119,0.0072944876386826,1
Personal_computer	Computer,0.85983313,65.0,0.0058093823709268,0.0065956145715034,1
Object_(computer_science)	Theory_of_computation,0.673879044,28.0,0.0054162662706385,0.0073381672053813,0
Computational_geometry	Combinatorics,0.841309019,46.0,0.0066829737049008,0.0073381672053813,0
Scope_(computer_science)	Programming_language,0.775707318,39.0,0.0062024984712151,0.0065956145715034,1
Theory_of_computation	Computer_science,0.826775571,48.0,0.0058530619376255,0.0062024984712151,1
Conditional_probability	Iterative_method,0.525303602,20.0,0.0057220232375294,0.0073381672053813,0
Human-computer_interaction	Plotly,0.506521755,18.0,0.0060277802044203,0.006071459771119,0
Conditional_probability	Automata_theory,0.586376137,18.0,0.0057220232375294,0.0074255263387787,0
Conditional_probability	Theoretical_computer_science,0.805684408,42.0,0.0057220232375294,0.0073381672053813,0
Decision_Trees	Randomization,0.523113602,19.0,0.0058967415043242,0.00738184677208,0
Machine_learning	Natural_language,0.759917996,33.0,0.006508255438106,0.0072508080719839,0
Numerical_analysis	Graph_theory,0.79604395,43.0,0.0058530619376255,0.0062898576046125,0
Functional_programming	Python_(programming_language),0.58889232,17.0,0.0067266532715995,0.0017908622346466,0
Object_(computer_science)	Structured_programming,0.854240483,58.0,0.0054162662706385,0.0072508080719839,0
Probability_theory	Introduction_to_Algorithms,0.590661006,22.0,0.0053725867039398,0.0072944876386826,0
Decision_Trees	Context-free_language,0.523909008,17.0,0.0058967415043242,0.0072071285052852,0
Uncertainty	Foundations_of_mathematics,0.820956006,51.0,0.0055473049707346,0.0073381672053813,1
Variable_(computer_science)	Computer_programming,0.82828619,50.0,0.005634664104132,0.0063772167380099,1
Object_(computer_science)	Troubleshooting_&_Debugging,0.602047125,24.0,0.0054162662706385,0.0073381672053813,0
Natural_language	Computability,0.700161489,30.0,0.0059841006377216,0.00738184677208,0
Mathematical_optimization	Computational_problem,0.588668992,17.0,0.0055036254040359,0.00738184677208,1
Generic_programming	Programming_language,0.748056439,35.0,0.0061151393378177,0.0065956145715034,1
Parsing	Problem_solving,0.648694905,22.0,0.0066392941382021,0.0073381672053813,1
Polynomial	Introduction_to_Algorithms,0.665842171,25.0,0.0053289071372411,0.0072944876386826,0
Data	Programming_language,0.797790356,39.0,0.0051978684371451,0.0065956145715034,0
Application_programming_interface	Computer_architecture,0.621313182,22.0,0.0067266532715995,0.0072508080719839,0
Regular_language	Higher-order_function,0.504309565,16.0,0.0059404210710229,0.0074255263387787,0
Functional_programming	Object-oriented_programming,0.821630014,38.0,0.0067266532715995,0.0024023761684284,0
Lock_(computer_science)	Computer_security,0.525300811,17.0,0.0058530619376255,0.00738184677208,0
Bioinformatics_Analysis	Arithmetic,0.526949322,17.0,0.0069887306717917,0.0072071285052852,1
Data	Mathematical_induction,0.680727739,26.0,0.0051978684371451,0.00738184677208,0
Finite-state_machine	Turing_machine,0.67154353,28.0,0.0055909845374333,0.005066829737049,0
Information_security	computer_programs/algorithms,0.503098382,18.0,0.0058530619376255,0.0063772167380099,1
Operating_system	Arithmetic,0.880980396,65.0,0.0058530619376255,0.0072071285052852,1
Recursion	Control_flow,0.786283222,37.0,0.006071459771119,0.0072508080719839,1
Semantics	Computer_science,0.764369825,41.0,0.0061588189045164,0.0062024984712151,0
Calculus	Abstraction_(computer_science),0.679049015,26.0,0.0052852275705425,0.00738184677208,0
Lexical_analysis	Scope_(computer_science),0.505508473,19.0,0.0058093823709268,0.0072508080719839,0
Computer_programming	Mathematics,0.8718814,67.0,0.0058530619376255,0.0067703328382982,0
ChatGPT	AutoKeras,0.76533608,33.0,0.0060277802044203,0.0055473049707346,0
ChatGPT	TensorFlow,0.856541761,60.0,0.0060277802044203,0.006071459771119,0
C_(programming_language)	Data_structure,0.853763736,55.0,0.0068140124049969,0.0069013715383943,0
Input/output	Central_processing_unit,0.882746227,69.0,0.0055909845374333,0.0073381672053813,0
Calculus	Mathematical_model,0.775238887,46.0,0.0052852275705425,0.0073381672053813,0
Classes	Arithmetic,0.597726504,21.0,0.0061151393378177,0.0072071285052852,0
Computer_network	Computing,0.80980883,48.0,0.0065956145715034,0.0072071285052852,0
Mathematical_optimization	Analysis_of_algorithms,0.573714909,19.0,0.0055036254040359,0.0046737136367607,1
Computer_programming	Algebra,0.67498772,26.0,0.0058530619376255,0.0072944876386826,0
Theoretical_computer_science	Computation,0.860401344,60.0,0.0048921114702542,0.0073381672053813,1
Uncertainty	Automata_theory,0.58150066,22.0,0.0055473049707346,0.0074255263387787,0
Lock_(computer_science)	Mutual_exclusion,0.704845022,27.0,0.0058530619376255,0.0073381672053813,1
C_(programming_language)	Imperative_programming,0.714012282,28.0,0.0068140124049969,0.0026207740019219,1
cryptography	Number_theory,0.705689771,28.0,0.0065519350048047,0.00738184677208,1
Finite-state_machine	Automata_theory,0.88563148,70.0,0.0055909845374333,0.0074255263387787,1
Computational_geometry	Discrete_mathematics,0.848128823,53.0,0.0066829737049008,0.0071634489385865,0
Mathematics	Asymptotic_analysis,0.591074898,21.0,0.0044553158032672,0.0073381672053813,0
Functional_programming	Regular_expression,0.679655112,26.0,0.0067266532715995,0.0072944876386826,0
Calculus	Information_security,0.601434331,19.0,0.0052852275705425,0.0073381672053813,0
Uncertainty	Algebra,0.836062108,56.0,0.0055473049707346,0.0072944876386826,1
Mathematics	Introduction_to_Algorithms,0.681519344,29.0,0.0044553158032672,0.0072944876386826,0
Human-computer_interaction	Finite-state_machine,0.610496322,24.0,0.0060277802044203,0.0073381672053813,0
Theory_of_computation	Computability,0.643982842,21.0,0.0058530619376255,0.00738184677208,1
Interface_(computing)	Algebra,0.813145247,44.0,0.0053725867039398,0.0072944876386826,0
Generic_programming	Data_structure,0.521484375,19.0,0.0061151393378177,0.0069013715383943,1
Polynomial	Computability,0.773865952,34.0,0.0053289071372411,0.00738184677208,0
ChatGPT	Conditional_probability,0.564772866,22.0,0.0060277802044203,0.0072944876386826,0
Computer_software	Mutual_exclusion,0.535768481,17.0,0.0058967415043242,0.0073381672053813,0
Mathematical_optimization	Foundations_of_mathematics,0.89017682,71.0,0.0055036254040359,0.0073381672053813,1
Computer_graphics	Computational_complexity_theory,0.798380785,43.0,0.0063335371713112,0.006945051105093,0
Plotly	Inventor,0.747741613,33.0,0.0059404210710229,0.0067703328382982,0
Java_(programming_language)	Computing,0.744009618,31.0,0.0066392941382021,0.0072071285052852,1
Graph_(mathematics)	Mathematics,0.885156155,74.0,0.005634664104132,0.0067703328382982,1
Graph_theory	Computational_complexity_theory,0.890689971,67.0,0.0053725867039398,0.006945051105093,0
Input/output	Computer,0.860835721,65.0,0.0055909845374333,0.0065956145715034,1
Object_(computer_science)	Graph_(mathematics),0.503640399,17.0,0.0054162662706385,0.0073381672053813,1
Theoretical_computer_science	Computer_science,0.754727163,38.0,0.0048921114702542,0.0062024984712151,1
Algebra	Computer_science,0.606380546,23.0,0.0053725867039398,0.0062024984712151,0
Computational_complexity_theory	Graph_theory,0.888877731,66.0,0.0051541888704464,0.0062898576046125,0
Imperative_programming	Functional_programming,0.820844565,39.0,0.006508255438106,0.0016161439678518,0
Analysis_of_algorithms	Computational_problem,0.713034827,29.0,0.0058530619376255,0.00738184677208,0
Object_(computer_science)	Data_(computing),0.736319319,30.0,0.0054162662706385,0.0073381672053813,1
Object-oriented_programming	Higher-order_function,0.794871112,35.0,0.006071459771119,0.0074255263387787,0
Plotly	Interface_(computing),0.576660951,18.0,0.0059404210710229,0.0073381672053813,0
Mathematical_optimization	Introduction_to_Algorithms,0.71908954,30.0,0.0055036254040359,0.0072944876386826,1
